CH3	CH4
45676	40028
45592	40012
45597	39994
45564	39988
45569	39992
45588	40000
45476	40028
45452	39996
45452	40009
45376	40072
45341	40064
45320	40082
45276	40160
45252	40140
45216	40180
45172	40260
45172	40314
45152	40308
45086	40336
45077	40416
45048	40424
44944	40506
44942	40472
44924	40512
44888	40581
44832	40529
44800	40562
44722	40572
44736	40548
44688	40520
44588	40532
44552	40513
44496	40452
44520	40472
44456	40396
44432	40324
44392	40285
44384	40298
44437	40286
44436	40192
44392	40136
44384	40164
44424	40076
44412	40088
44372	40060
44394	39972
44428	39986
44396	39912
44412	39944
44409	39852
44452	39888
44424	39816
44424	39820
44444	39776
44448	39762
44464	39672
44452	39682
44448	39656
44432	39608
44508	39504
44412	39464
44404	39412
44400	39400
44360	39284
44348	39270
44336	39173
44304	39080
44328	39018
44240	38971
44232	38905
44177	38833
44160	38724
44108	38656
44096	38576
44068	38500
44056	38378
44048	38288
43914	38184
43868	38060
43800	37933
43810	37800
43660	37680
43580	37512
43505	37329
43360	37152
43321	36964
43124	36764
42992	36548
42850	36332
42772	36089
42484	35849
42288	35604
42100	35360
41901	35092
41709	34824
41600	34560
41226	34272
41016	33996
40744	33752
40560	33460
40312	33180
40037	32916
39760	32648
39500	32384
39172	32132
38881	31880
38464	31586
38212	31333
37848	31098
37528	30857
37172	30610
36844	30372
36532	30136
36194	29904
35832	29673
35461	29464
35141	29228
34754	29008
34424	28790
34072	28574
33696	28360
33348	28148
33004	27949
32637	27736
32290	27528
31902	27322
31601	27108
31240	26908
30892	26701
30552	26500
30282	26293
29963	26082
29665	25874
29381	25664
29085	25452
28816	25236
28532	25025
28282	24796
28018	24564
27762	24332
27508	24100
27276	23856
27032	23589
26808	23332
26568	23072
26290	22805
26112	22514
25864	22240
25640	21961
25426	21672
25200	21392
24946	21108
24706	20824
24473	20544
24208	20262
23945	20000
23760	19734
23488	19480
23236	19228
22971	18977
22724	18736
22424	18514
22180	18281
21856	18068
21529	17848
21270	17648
21020	17456
20688	17251
20416	17082
20112	16894
19762	16733
19520	16556
19250	16405
18925	16256
18612	16102
18322	15964
18056	15822
17810	15699
17492	15566
17220	15440
16936	15326
16633	15212
16410	15098
16109	15008
15910	14934
15602	14873
15440	14822
15222	14792
14968	14788
14804	14787
14612	14808
14448	14840
14219	14906
14121	15005
13973	15066
13865	15214
13762	15322
13668	15408
13584	15625
13475	15778
13455	15864
13444	16086
13372	16232
13364	16376
13401	16592
13406	16760
13473	16904
13524	17132
13532	17270
13642	17469
13716	17672
13771	17826
13890	18004
13963	18224
14130	18405
14164	18585
14322	18786
14418	18960
14580	19160
14780	19452
14902	19640
15065	19922
15168	20075
15360	20377
15468	20628
15667	20843
15824	21137
15964	21394
16168	21586
16300	21918
16498	22092
16665	22430
16849	22642
16996	22910
17145	23188
17341	23381
17565	23682
17760	23920
17944	24180
18104	24392
18322	24652
18528	24924
18704	25096
18882	25310
19124	25518
19361	25748
19552	25978
19769	26216
20068	26408
20274	26664
20584	26932
20864	27158
21113	27406
21374	27620
21645	27828
21888	28102
22236	28356
22456	28552
22756	28808
23028	29028
23340	29228
23652	29459
23908	29648
24179	29849
24428	30061
24684	30252
24973	30386
25192	30556
25468	30741
25704	30888
25956	31056
26244	31196
26489	31344
26730	31516
26926	31692
27204	31824
27434	31976
27681	32164
27908	32321
28109	32424
28360	32561
28541	32792
28812	32889
29042	33020
29186	33168
29472	33376
29605	33436
29862	33596
30092	33736
30288	33865
30468	34096
30624	34184
30832	34304
30957	34448
31121	34440
31322	34560
31408	34710
31644	34813
31712	34820
31888	34952
32040	35028
32164	35048
32306	35132
32398	35182
32480	35345
32589	35312
32690	35396
32788	35472
32888	35512
33008	35650
33052	35737
33132	35713
33208	35752
33281	35912
33376	35956
33432	36004
33461	36088
33512	36109
33564	36108
33626	36153
33652	36048
33625	36156
33664	36112
33616	35988
33580	35924
33580	35898
33529	35794
33452	35712
33362	35624
33278	35564
33165	35466
33048	35328
32905	35109
32769	34970
32572	34817
32409	34704
32208	34544
32025	34324
31776	34256
31536	33960
31292	33805
31028	33700
30756	33552
30480	33270
30184	33133
29894	32993
29593	32768
29248	32637
28954	32412
28641	32300
28272	32164
27933	31938
27680	31786
27312	31660
26992	31506
26652	31325
26300	31216
25996	31024
25678	30882
25286	30764
25026	30646
24716	30481
24374	30356
24102	30264
23736	30164
23460	30070
23098	29942
22889	29864
22604	29804
22264	29696
22002	29624
21780	29568
21534	29500
21312	29440
21056	29368
20852	29280
20632	29180
20430	29076
20160	28994
20025	28892
19858	28758
19640	28648
19509	28513
19376	28362
19245	28244
19089	28100
18994	27942
18885	27778
18716	27588
18674	27424
18618	27252
18466	27088
18379	26864
18352	26656
18330	26456
18240	26282
18156	26025
18124	25865
18085	25580
18080	25424
18046	25249
17991	25018
17977	24888
17930	24644
17884	24416
17826	24308
17819	24138
17769	23956
17737	23784
17718	23620
17706	23449
17731	23237
17656	23125
17670	22968
17609	22837
17630	22712
17594	22568
17608	22476
17592	22378
17584	22281
17603	22204
17609	22179
17620	22033
17630	22018
17641	22011
17668	22065
17718	22042
17733	22116
17807	22176
17844	22216
17956	22330
18040	22370
18106	22484
18217	22556
18324	22701
18448	22868
18520	22940
18686	23029
18849	23224
19000	23344
19161	23472
19348	23632
19458	23715
19618	23858
19900	24018
20076	24044
20276	24254
20482	24388
20734	24434
20948	24640
21140	24730
21422	24925
21676	25045
21885	25176
22171	25312
22422	25457
22708	25608
22972	25756
23233	25944
23500	26091
23822	26256
24116	26420
24328	26594
24696	26765
24962	26930
25281	27088
25576	27265
25834	27452
26118	27604
26452	27800
26740	27952
27024	28140
27300	28282
27564	28472
27896	28656
28101	28850
28460	28956
28712	29117
29024	29282
29332	29514
29634	29656
29932	29832
30252	29944
30540	30122
30828	30342
31120	30473
31434	30630
31742	30786
32052	30970
32377	31176
32728	31276
33052	31476
33372	31561
33762	31757
34060	31848
34346	31952
34656	32089
34998	32184
35434	32291
35660	32412
36064	32516
36344	32612
36656	32676
36988	32772
37320	32844
37652	32976
38080	33036
38340	33144
38624	33216
39024	33314
39244	33416
39660	33520
39834	33617
40124	33732
40397	33824
40716	33945
40916	34057
41160	34176
41449	34265
41636	34406
41844	34524
42044	34617
42352	34756
42528	34860
42716	34980
42852	35114
42896	35232
42992	35312
43240	35464
43268	35568
43424	35644
43428	35760
43540	35834
43632	35956
43713	35996
43785	36108
43792	36193
43824	36264
43872	36308
43952	36372
43952	36456
44072	36524
44096	36552
44069	36626
44172	36684
44156	36716
44208	36740
44282	36784
44268	36796
44348	36824
44362	36800
44424	36792
44396	36794
44428	36752
44440	36690
44468	36636
44497	36548
44576	36456
44568	36296
44560	36152
44504	36048
44484	35868
44476	35677
44440	35544
44464	35296
44384	35124
44312	34884
44304	34632
44181	34473
44108	34164
44068	34025
43937	33760
43840	33528
43800	33208
43596	33014
43500	32732
43324	32518
43178	32273
43026	32072
42880	31872
42696	31608
42578	31344
42364	31117
42180	30896
42040	30725
41912	30448
41632	30256
41472	30064
41212	29806
41016	29609
40820	29392
40588	29165
40356	28968
40176	28824
39928	28585
39648	28420
39396	28203
39176	28033
38904	27854
38688	27666
38396	27502
38112	27404
37892	27225
37696	27082
37352	26977
37089	26856
36764	26704
36460	26556
36160	26484
35868	26336
35601	26273
35332	26146
35041	26052
34732	25916
34424	25803
34085	25712
33728	25589
33392	25484
33101	25381
32832	25288
32497	25192
32160	25086
31856	25000
31554	24898
31258	24820
30968	24733
30660	24668
30365	24606
30105	24545
29836	24498
29505	24460
29269	24424
28944	24400
28752	24392
28488	24384
28201	24400
